2026/09/25 01:26:10.828, 2190 MHz, [N/A], 16.20 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:26:33.364, 2190 MHz, [N/A], 30.39 W, 92 %, 57, 0x0000000000000000
2026/09/25 01:26:33.865, 2190 MHz, [N/A], 30.62 W, 92 %, 57, 0x0000000000000000
2026/09/25 01:26:34.365, 2190 MHz, [N/A], 31.00 W, 88 %, 58, 0x0000000000000000
2026/09/25 01:26:34.866, 2190 MHz, [N/A], 31.10 W, 88 %, 58, 0x0000000000000000
2026/09/25 01:26:35.366, 2190 MHz, [N/A], 30.61 W, 86 %, 58, 0x0000000000000000
2026/09/25 01:26:35.866, 2190 MHz, [N/A], 30.67 W, 86 %, 58, 0x0000000000000000
2026/09/25 01:26:36.367, 2190 MHz, [N/A], 30.85 W, 85 %, 57, 0x0000000000000000
2026/09/25 01:26:36.867, 2190 MHz, [N/A], 31.25 W, 85 %, 58, 0x0000000000000000
2026/09/25 01:26:37.367, 2190 MHz, [N/A], 31.02 W, 87 %, 58, 0x0000000000000000
2026/09/25 01:26:37.867, 2190 MHz, [N/A], 30.89 W, 87 %, 57, 0x0000000000000000
2026/09/25 01:26:38.368, 2190 MHz, [N/A], 30.89 W, 90 %, 58, 0x0000000000000000
2026/09/25 01:26:38.868, 2190 MHz, [N/A], 30.73 W, 90 %, 57, 0x0000000000000000
2026/09/25 01:26:39.368, 2190 MHz, [N/A], 30.81 W, 89 %, 58, 0x0000000000000000
2026/09/25 01:26:39.868, 2190 MHz, [N/A], 30.93 W, 89 %, 57, 0x0000000000000000
2026/09/25 01:26:40.369, 2190 MHz, [N/A], 31.14 W, 89 %, 58, 0x0000000000000000
2026/09/25 01:26:40.869, 2190 MHz, [N/A], 31.11 W, 89 %, 57, 0x0000000000000000
2026/09/25 01:26:41.369, 2190 MHz, [N/A], 30.76 W, 90 %, 58, 0x0000000000000000
2026/09/25 01:26:41.869, 2190 MHz, [N/A], 31.11 W, 90 %, 58, 0x0000000000000000
2026/09/25 01:26:42.370, 2190 MHz, [N/A], 31.23 W, 85 %, 59, 0x0000000000000000
2026/09/25 01:26:42.870, 2190 MHz, [N/A], 31.02 W, 85 %, 58, 0x0000000000000000
2026/09/25 01:26:43.371, 2190 MHz, [N/A], 32.33 W, 96 %, 60, 0x0000000000000000
2026/09/25 01:26:43.871, 2190 MHz, [N/A], 31.95 W, 96 %, 58, 0x0000000000000000
2026/09/25 01:26:44.372, 2190 MHz, [N/A], 30.48 W, 83 %, 58, 0x0000000000000000
2026/09/25 01:26:44.872, 2190 MHz, [N/A], 30.77 W, 83 %, 59, 0x0000000000000000
2026/09/25 01:26:45.372, 2190 MHz, [N/A], 30.84 W, 85 %, 58, 0x0000000000000000
2026/09/25 01:26:45.872, 2190 MHz, [N/A], 30.78 W, 85 %, 59, 0x0000000000000000
2026/09/25 01:26:46.373, 2190 MHz, [N/A], 31.28 W, 88 %, 59, 0x0000000000000000
2026/09/25 01:26:46.873, 2190 MHz, [N/A], 31.40 W, 88 %, 58, 0x0000000000000000
2026/09/25 01:26:47.374, 2190 MHz, [N/A], 31.16 W, 91 %, 59, 0x0000000000000000
2026/09/25 01:26:47.874, 2190 MHz, [N/A], 31.33 W, 91 %, 59, 0x0000000000000000
2026/09/25 01:26:48.374, 2190 MHz, [N/A], 31.15 W, 85 %, 58, 0x0000000000000000
2026/09/25 01:26:48.875, 2190 MHz, [N/A], 31.19 W, 85 %, 59, 0x0000000000000000
2026/09/25 01:26:49.375, 2190 MHz, [N/A], 31.42 W, 86 %, 59, 0x0000000000000000
2026/09/25 01:26:49.875, 2190 MHz, [N/A], 31.47 W, 86 %, 59, 0x0000000000000000
2026/09/25 01:26:50.375, 2190 MHz, [N/A], 31.29 W, 90 %, 59, 0x0000000000000000
2026/09/25 01:26:50.876, 2190 MHz, [N/A], 31.27 W, 90 %, 59, 0x0000000000000000
2026/09/25 01:26:51.376, 2190 MHz, [N/A], 31.60 W, 87 %, 59, 0x0000000000000000
2026/09/25 01:26:51.877, 2190 MHz, [N/A], 31.48 W, 87 %, 59, 0x0000000000000000
2026/09/25 01:26:52.377, 2190 MHz, [N/A], 31.59 W, 92 %, 60, 0x0000000000000000
2026/09/25 01:26:52.878, 2190 MHz, [N/A], 31.42 W, 92 %, 59, 0x0000000000000000
2026/09/25 01:26:53.378, 2190 MHz, [N/A], 31.50 W, 87 %, 59, 0x0000000000000000
2026/09/25 01:26:53.878, 2190 MHz, [N/A], 31.54 W, 87 %, 60, 0x0000000000000000
2026/09/25 01:26:54.378, 2190 MHz, [N/A], 31.56 W, 88 %, 59, 0x0000000000000000
2026/09/25 01:26:54.879, 2190 MHz, [N/A], 31.54 W, 88 %, 58, 0x0000000000000000
2026/09/25 01:26:55.379, 2190 MHz, [N/A], 31.64 W, 87 %, 60, 0x0000000000000000
2026/09/25 01:26:55.880, 2190 MHz, [N/A], 31.79 W, 87 %, 60, 0x0000000000000000
2026/09/25 01:26:56.380, 2190 MHz, [N/A], 31.37 W, 84 %, 58, 0x0000000000000000
2026/09/25 01:26:56.881, 2190 MHz, [N/A], 31.26 W, 84 %, 59, 0x0000000000000000
2026/09/25 01:26:57.381, 2190 MHz, [N/A], 31.46 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:57.882, 2190 MHz, [N/A], 31.32 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:58.382, 2190 MHz, [N/A], 31.13 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:58.882, 2190 MHz, [N/A], 31.36 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:59.383, 2190 MHz, [N/A], 30.83 W, 88 %, 59, 0x0000000000000000
2026/09/25 01:26:59.883, 2190 MHz, [N/A], 20.06 W, 88 %, 56, 0x0000000000000000
2026/09/25 01:27:00.384, 2190 MHz, [N/A], 9.04 W, 0 %, 56, 0x0000000000000000
2026/09/25 01:27:00.884, 2190 MHz, [N/A], 8.96 W, 0 %, 56, 0x0000000000000000
2026/09/25 01:27:01.385, 2190 MHz, [N/A], 8.98 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:01.886, 2190 MHz, [N/A], 8.94 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:02.387, 2190 MHz, [N/A], 8.88 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:02.887, 2190 MHz, [N/A], 8.85 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:03.388, 2190 MHz, [N/A], 8.82 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:03.889, 2190 MHz, [N/A], 8.82 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:04.389, 2190 MHz, [N/A], 8.81 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:04.889, 2190 MHz, [N/A], 8.79 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:05.390, 2190 MHz, [N/A], 8.77 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:05.891, 2190 MHz, [N/A], 8.76 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:06.391, 2190 MHz, [N/A], 8.76 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:06.891, 2190 MHz, [N/A], 8.75 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:07.391, 2190 MHz, [N/A], 8.73 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:07.891, 2190 MHz, [N/A], 8.72 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:08.391, 2190 MHz, [N/A], 8.71 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:08.892, 2190 MHz, [N/A], 8.69 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:09.392, 2190 MHz, [N/A], 8.68 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:09.892, 2190 MHz, [N/A], 8.68 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:10.392, 2190 MHz, [N/A], 8.69 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:10.892, 2190 MHz, [N/A], 8.66 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:11.393, 2190 MHz, [N/A], 8.64 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:11.893, 2190 MHz, [N/A], 8.66 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:12.393, 2190 MHz, [N/A], 8.69 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:12.894, 2190 MHz, [N/A], 8.66 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:13.394, 2190 MHz, [N/A], 8.62 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:13.895, 2190 MHz, [N/A], 8.61 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:14.395, 2190 MHz, [N/A], 8.59 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:14.896, 2190 MHz, [N/A], 8.58 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:15.396, 2190 MHz, [N/A], 8.58 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:15.896, 2190 MHz, [N/A], 8.57 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:16.397, 2190 MHz, [N/A], 8.57 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:16.898, 2190 MHz, [N/A], 8.57 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:17.398, 2190 MHz, [N/A], 8.55 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:17.898, 2190 MHz, [N/A], 8.53 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:18.399, 2190 MHz, [N/A], 8.53 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:18.899, 2190 MHz, [N/A], 8.54 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:19.400, 2190 MHz, [N/A], 8.54 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:19.900, 2190 MHz, [N/A], 8.53 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:20.401, 2190 MHz, [N/A], 8.53 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:20.901, 2190 MHz, [N/A], 8.52 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:21.401, 2190 MHz, [N/A], 8.51 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:21.902, 2190 MHz, [N/A], 8.50 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:22.402, 2190 MHz, [N/A], 8.51 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:22.903, 2190 MHz, [N/A], 8.55 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:23.403, 2190 MHz, [N/A], 8.55 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:23.903, 2190 MHz, [N/A], 8.50 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:24.404, 2190 MHz, [N/A], 8.48 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:24.904, 2190 MHz, [N/A], 8.48 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:25.405, 2190 MHz, [N/A], 8.48 W, 0 %, 51, 0x0000000000000000
